policy,threads,chunk,trial,rank,rows,escape_iterations
dynamic,8,64,1,2,128,6964699
dynamic,8,64,1,3,376,2404843
dynamic,8,64,1,4,128,26617031
dynamic,8,64,1,5,64,8391451
dynamic,8,64,1,6,64,27912016
dynamic,8,64,1,7,128,50385382
dynamic,8,64,2,0,128,41168685
dynamic,8,64,2,1,128,50435539
dynamic,8,64,2,2,128,39534504
dynamic,8,64,2,3,64,8391451
dynamic,8,64,2,4,64,27912016
dynamic,8,64,2,5,376,2404843
dynamic,8,64,2,6,64,26424775
dynamic,8,64,2,7,128,6845066
dynamic,8,64,3,0,128,26636502
dynamic,8,64,3,1,128,6964699
dynamic,8,64,3,2,376,2404843
dynamic,8,64,3,3,128,39445557
dynamic,8,64,3,4,64,8391451
dynamic,8,64,3,5,64,50223812
dynamic,8,64,3,6,64,27912016
dynamic,8,64,3,7,128,41137999
dynamic,8,256,1,0,256,78230988
dynamic,8,256,1,1,0,0
dynamic,8,256,1,2,256,122585384
dynamic,8,256,1,3,0,0
dynamic,8,256,1,4,256,1313697
dynamic,8,256,1,5,0,0
dynamic,8,256,1,6,56,140054
dynamic,8,256,1,7,256,846756
dynamic,8,256,2,0,0,0
dynamic,8,256,2,1,256,78230988
dynamic,8,256,2,2,56,140054
dynamic,8,256,2,3,256,1313697
dynamic,8,256,2,4,256,122585384
dynamic,8,256,2,5,0,0
dynamic,8,256,2,6,0,0
dynamic,8,256,2,7,256,846756
dynamic,8,256,3,0,256,122585384
dynamic,8,256,3,1,256,1313697
dynamic,8,256,3,2,56,140054
dynamic,8,256,3,3,0,0
dynamic,8,256,3,4,0,0
dynamic,8,256,3,5,256,78230988
dynamic,8,256,3,6,0,0
dynamic,8,256,3,7,256,846756
dynamic,16,1,1,0,69,13810314
dynamic,16,1,1,1,87,15450296
dynamic,16,1,1,2,72,11672514
dynamic,16,1,1,3,78,15603339
dynamic,16,1,1,4,65,10681162
dynamic,16,1,1,5,59,10617954
dynamic,16,1,1,6,80,13620863
dynamic,16,1,1,7,69,14304435
dynamic,16,1,1,8,66,11119340
dynamic,16,1,1,9,77,15945635
dynamic,16,1,1,10,49,11560441
dynamic,16,1,1,11,76,11732608
dynamic,16,1,1,12,53,11585220
dynamic,16,1,1,13,58,12693088
dynamic,16,1,1,14,55,12433500
dynamic,16,1,1,15,67,10286170
dynamic,16,1,2,0,62,13885228
dynamic,16,1,2,1,75,11384329
dynamic,16,1,2,2,71,10764366
dynamic,16,1,2,3,73,13956373
dynamic,16,1,2,4,59,12343008
dynamic,16,1,2,5,70,10949794
dynamic,16,1,2,6,71,13777189
dynamic,16,1,2,7,64,13900348
dynamic,16,1,2,8,58,10701158
dynamic,16,1,2,9,72,13114442
dynamic,16,1,2,10,57,13825375
dynamic,16,1,2,11,63,12685487
dynamic,16,1,2,12,75,14011945
dynamic,16,1,2,13,57,11783883
dynamic,16,1,2,14,87,13362538
dynamic,16,1,2,15,66,12671416
dynamic,16,1,3,0,56,13346434
dynamic,16,1,3,1,71,13456772
dynamic,16,1,3,2,69,11319214
dynamic,16,1,3,3,63,11497892
dynamic,16,1,3,4,67,10966651
dynamic,16,1,3,5,76,11735914
dynamic,16,1,3,6,62,13530316
dynamic,16,1,3,7,73,13307765
dynamic,16,1,3,8,72,13471801
dynamic,16,1,3,9,66,13589831
dynamic,16,1,3,10,61,11340089
dynamic,16,1,3,11,74,13428878
dynamic,16,1,3,12,63,13356484
dynamic,16,1,3,13,66,13268546
dynamic,16,1,3,14,67,12646413
dynamic,16,1,3,15,74,12853879
dynamic,16,16,1,0,48,10255465
dynamic,16,16,1,1,104,12557725
dynamic,16,16,1,2,64,14980268
dynamic,16,16,1,3,64,11057621
dynamic,16,16,1,4,80,11408529
dynamic,16,16,1,5,96,12669170
dynamic,16,16,1,6,48,13007690
dynamic,16,16,1,7,48,12842118
dynamic,16,16,1,8,112,12369859
dynamic,16,16,1,9,32,12705801
dynamic,16,16,1,10,32,13252586
dynamic,16,16,1,11,112,12745224
dynamic,16,16,1,12,48,13329816
dynamic,16,16,1,13,32,13129386
dynamic,16,16,1,14,96,12611473
dynamic,16,16,1,15,64,14194148
dynamic,16,16,2,0,32,13427076
dynamic,16,16,2,1,32,13256403
dynamic,16,16,2,2,80,14494995
dynamic,16,16,2,3,48,12806722
dynamic,16,16,2,4,80,11002678
dynamic,16,16,2,5,48,12754603
dynamic,16,16,2,6,112,12334557
dynamic,16,16,2,7,160,12193775
dynamic,16,16,2,8,104,12670324
dynamic,16,16,2,9,32,11202149
dynamic,16,16,2,10,128,12443009
dynamic,16,16,2,11,32,13816756
dynamic,16,16,2,12,48,12341729
dynamic,16,16,2,13,48,12361552
dynamic,16,16,2,14,48,13220888
dynamic,16,16,2,15,48,12789663
dynamic,16,16,3,0,128,12447095
dynamic,16,16,3,1,96,11102544
dynamic,16,16,3,2,64,14276484
dynamic,16,16,3,3,48,12052613
dynamic,16,16,3,4,48,12751791
dynamic,16,16,3,5,112,12581334
dynamic,16,16,3,6,32,13274353
dynamic,16,16,3,7,48,13866744
dynamic,16,16,3,8,32,11989879
dynamic,16,16,3,9,64,12427800
dynamic,16,16,3,10,32,13159330
dynamic,16,16,3,11,48,14392067
dynamic,16,16,3,12,48,12832885
dynamic,16,16,3,13,32,12799888
dynamic,16,16,3,14,128,10597714
dynamic,16,16,3,15,120,12564358
dynamic,16,64,1,0,64,951092
dynamic,16,64,1,1,64,50223812
dynamic,16,64,1,2,64,211727
dynamic,16,64,1,3,64,27912016
dynamic,16,64,1,4,120,332310
dynamic,16,64,1,5,64,189842
dynamic,16,64,1,6,64,39253301
dynamic,16,64,1,7,64,281203
dynamic,16,64,1,8,0,0
dynamic,16,64,1,9,64,645147
dynamic,16,64,1,10,64,6683496
dynamic,16,64,1,11,64,270308
dynamic,16,64,1,12,64,8391451
dynamic,16,64,1,13,64,208400
dynamic,16,64,1,14,64,40976429
dynamic,16,64,1,15,128,26586345
dynamic,16,64,2,0,56,140054
dynamic,16,64,2,1,64,208400
dynamic,16,64,2,2,128,856874
dynamic,16,64,2,3,128,26705978
dynamic,16,64,2,4,64,8391451
dynamic,16,64,2,5,64,951092
dynamic,16,64,2,6,0,0
dynamic,16,64,2,7,128,41168685
dynamic,16,64,2,8,64,50223812
dynamic,16,64,2,9,64,27912016
dynamic,16,64,2,10,64,39253301
dynamic,16,64,2,11,0,0
dynamic,16,64,2,12,64,6683496
dynamic,16,64,2,13,64,189842
dynamic,16,64,2,14,64,270308
dynamic,16,64,2,15,64,161570
dynamic,16,64,3,0,64,39253301
dynamic,16,64,3,1,248,819499
dynamic,16,64,3,2,128,856874
dynamic,16,64,3,3,0,0
dynamic,16,64,3,4,64,40976429
dynamic,16,64,3,5,64,951092
dynamic,16,64,3,6,64,8391451
dynamic,16,64,3,7,0,0
dynamic,16,64,3,8,64,27912016
dynamic,16,64,3,9,64,192256
dynamic,16,64,3,10,64,270308
dynamic,16,64,3,11,0,0
dynamic,16,64,3,12,64,26424775
dynamic,16,64,3,13,0,0
dynamic,16,64,3,14,64,6683496
dynamic,16,64,3,15,128,50385382
dynamic,16,256,1,0,56,140054
dynamic,16,256,1,1,0,0
dynamic,16,256,1,2,256,122585384
dynamic,16,256,1,3,256,1313697
dynamic,16,256,1,4,0,0
dynamic,16,256,1,5,0,0
dynamic,16,256,1,6,0,0
dynamic,16,256,1,7,0,0
dynamic,16,256,1,8,0,0
dynamic,16,256,1,9,0,0
dynamic,16,256,1,10,0,0
dynamic,16,256,1,11,0,0
dynamic,16,256,1,12,0,0
dynamic,16,256,1,13,0,0
dynamic,16,256,1,14,256,78230988
dynamic,16,256,1,15,256,846756
dynamic,16,256,2,0,0,0
