policy,threads,chunk,trial,width,height,max_iter,seconds,work_imbalance,row_imbalance
guided,8,1,1,1920,1080,1000,0.12542559999997138,1.9905900582491718,2.8740740740740742
guided,8,1,2,1920,1080,1000,0.12572220000015477,1.9905900582491718,2.8740740740740742
guided,8,1,3,1920,1080,1000,0.12514390000001185,2.0087165281817865,1.9333333333333333
guided,8,16,1,1920,1080,1000,0.12302169999998114,1.993905863431468,2.9925925925925925
guided,8,16,2,1920,1080,1000,0.13843320000000858,2.023527192932105,2.037037037037037
guided,8,16,3,1920,1080,1000,0.12516610000011497,1.993905863431468,2.9925925925925925
guided,8,64,1,1920,1080,1000,0.12222159999987525,2.028725657999107,2.562962962962963
guided,8,64,2,1920,1080,1000,0.12699959999986277,2.028725657999107,2.562962962962963
guided,8,64,3,1920,1080,1000,0.12253519999990203,2.032041463181403,2.6814814814814816
guided,8,256,1,1920,1080,1000,0.26730159999988246,4.828171232386847,1.8962962962962964
guided,8,256,2,1920,1080,1000,0.27307010000004084,4.828171232386847,1.8962962962962964
guided,8,256,3,1920,1080,1000,0.27583919999983664,4.828171232386847,1.8962962962962964
guided,16,1,1,1920,1080,1000,0.07780210000009902,2.24265958714342,2.088888888888889
guided,16,1,2,1920,1080,1000,0.0767779000000246,2.2220798302045592,2.6074074074074076
guided,16,1,3,1920,1080,1000,0.07478439999999864,2.2266793494793706,3.6148148148148147
guided,16,16,1,1920,1080,1000,0.07349469999985558,2.219156193316657,3.437037037037037
guided,16,16,2,1920,1080,1000,0.07378059999996367,2.2404546694516707,3.1259259259259258
guided,16,16,3,1920,1080,1000,0.07672889999980725,2.21281328372518,2.8296296296296295
guided,16,64,1,1920,1080,1000,0.12311439999984941,3.9668710348783964,1.9555555555555555
guided,16,64,2,1920,1080,1000,0.11980909999988398,3.9516224350808384,1.9555555555555555
guided,16,64,3,1920,1080,1000,0.12231850000011946,3.9516224350808384,2.8444444444444446
guided,16,256,1,1920,1080,1000,0.2759937999999238,9.656342464773694,3.7925925925925927
guided,16,256,2,1920,1080,1000,0.2709921000000577,9.656342464773694,3.7925925925925927
guided,16,256,3,1920,1080,1000,0.2677077000000736,9.656342464773694,3.7925925925925927
